device,cpu_usage,network_activity,memory_usage,anomalous_behavior
HomePod,48.4,674.57,1392.61,0
HomePod,15.46,808.8,7986.82,0
Alexa,76.91,166.39,7447.92,0
Alexa,43.25,853.68,5341.4,1
Alexa,27.54,564.81,7130.93,0
Alexa,38.89,936.65,382.96,0
HomePod,29.06,410.21,5477.17,0
HomePod,58.43,25.73,4646.64,1
Alexa,22.19,67.86,4545.89,0
Alexa,12.5,55.3,6757.47,0
Alexa,10.11,736.04,1749.26,1
HomePod,66.79,347.33,7922.47,0
Alexa,15.43,449.09,6865.05,1
HomePod,34.16,791.76,1665.58,0
Alexa,16.98,566.7,1561.12,0
HomePod,89.24,345.5,4314.28,0
HomePod,71.42,31.57,6400.88,1
HomePod,53.74,834.11,3859.58,0
Alexa,70.59,615.09,7846.99,1
Alexa,81.46,18.13,6906.18,1
Alexa,48.4,165.2,1832.31,0
Alexa,20.73,21.9,7044.56,1
Alexa,78.98,94.83,4245.55,0
Alexa,51.23,167.23,2731.05,0
HomePod,58.5,331.1,1191.58,0
Alexa,64.56,330.36,6121.74,1
Alexa,88.88,919.14,5596.76,0
HomePod,53.35,400.63,1716.15,0
HomePod,29.36,892.58,4976.95,1
HomePod,31.73,506.9,6332.05,1
HomePod,55.02,273.33,3690.95,0
HomePod,56.94,8.1,2030.53,1
HomePod,14.91,195.38,4900.43,0
HomePod,53.72,868.55,508.0,1
HomePod,67.31,979.12,7923.28,0
HomePod,39.07,599.04,4628.93,1
HomePod,61.52,895.59,7618.64,0
Alexa,84.14,720.99,2869.75,1
HomePod,56.66,309.0,7758.43,1
Alexa,61.54,85.6,306.65,0
Alexa,16.66,281.76,3601.91,0
HomePod,48.7,775.61,5575.68,1
HomePod,80.84,900.17,4641.42,1
HomePod,63.94,975.61,1640.95,1
HomePod,64.83,184.13,4416.6,1
Alexa,30.5,476.64,6681.91,1
Alexa,76.07,507.4,7969.73,1
Alexa,18.94,229.04,1221.27,0
Alexa,12.52,585.96,1264.48,1
Alexa,49.72,946.01,3106.48,0
HomePod,47.97,729.95,6203.12,0
Alexa,35.88,995.8,717.76,0
HomePod,21.3,61.24,596.87,1
HomePod,42.62,246.57,2401.4,0
Alexa,85.53,683.95,7597.49,1
Alexa,88.35,732.35,362.64,0
Alexa,86.84,739.89,2809.78,1
HomePod,66.99,300.38,1866.39,0
HomePod,51.36,378.64,3135.74,0
Alexa,26.03,773.13,5749.29,1
Alexa,63.39,609.82,3051.43,1
Alexa,21.42,59.1,3782.86,0
HomePod,24.38,741.92,4790.35,1
Alexa,69.6,192.23,2204.67,1
Alexa,46.06,584.03,5028.23,0
HomePod,69.45,460.07,1519.07,0
Alexa,30.33,276.27,1222.22,0
Alexa,81.19,682.01,5235.6,0
Alexa,41.13,884.87,5651.26,1
HomePod,52.18,642.77,7004.24,1
HomePod,19.44,139.83,6115.87,1
HomePod,27.82,601.52,4131.97,0
Alexa,71.88,815.55,6509.51,0
Alexa,56.94,616.98,5422.65,0
Alexa,41.57,887.91,948.36,0
Alexa,20.96,125.42,952.01,1
HomePod,16.0,945.42,4823.46,0
HomePod,85.55,168.43,7371.39,0
Alexa,66.07,898.91,996.17,1
HomePod,86.43,142.78,3543.4,0
Alexa,35.47,393.1,3014.98,0
Alexa,83.08,778.82,4955.62,0
HomePod,70.41,81.31,4847.82,0
HomePod,76.18,663.83,3169.76,1
Alexa,52.36,798.69,885.41,1
Alexa,23.55,932.53,3357.68,1
Alexa,47.38,699.49,7216.62,1
HomePod,10.06,794.8,1656.64,1
HomePod,58.42,819.39,7806.64,0
HomePod,60.53,107.97,4111.17,1
Alexa,48.81,308.18,3203.45,1
Alexa,56.52,630.59,1488.25,1
HomePod,18.95,440.92,2314.66,0
Alexa,41.94,385.42,7588.86,0
Alexa,31.21,698.53,3736.61,1
HomePod,16.34,817.18,4243.39,1
HomePod,51.7,46.48,2275.35,0
HomePod,89.05,301.75,783.74,1
Alexa,45.37,970.57,4763.67,0
Alexa,20.5,874.37,6705.83,0
Alexa,34.96,321.86,623.2,0
Alexa,68.6,546.38,5833.27,1
Alexa,66.76,996.65,6257.52,1
HomePod,63.82,176.29,5625.97,1
HomePod,31.09,174.88,7035.41,0
HomePod,76.42,181.75,2189.23,1
HomePod,55.1,900.43,2895.14,1
Alexa,39.29,429.46,5550.96,1
Alexa,53.77,701.36,1550.09,0
HomePod,66.07,191.38,5797.75,0
HomePod,55.47,815.07,7319.08,1
Alexa,80.66,127.33,1707.25,0
Alexa,15.99,715.42,2243.34,1
HomePod,77.43,496.11,2151.63,1
HomePod,14.86,520.97,608.93,1
HomePod,29.17,174.31,154.76,1
HomePod,82.09,344.11,1732.62,0
HomePod,74.98,232.93,4946.92,0
HomePod,43.38,964.99,2927.39,0
Alexa,74.14,590.77,4613.85,1
Alexa,11.72,701.5,7603.37,1
HomePod,21.28,146.72,1065.11,0
Alexa,58.46,866.88,5616.26,0
HomePod,22.99,225.2,4556.31,0
HomePod,82.02,878.78,3518.7,0
HomePod,12.18,70.65,3120.98,0
Alexa,13.97,366.56,650.51,0
HomePod,43.26,81.57,5403.14,0
HomePod,13.18,906.1,5888.19,1
Alexa,54.0,412.12,5190.02,1
Alexa,59.81,895.65,2933.08,1
HomePod,75.86,111.46,5234.52,0
Alexa,10.22,427.41,4498.95,1
HomePod,73.92,386.65,2249.78,1
HomePod,88.99,494.56,3883.5,1
Alexa,47.17,681.93,4454.93,0
HomePod,75.44,454.83,5897.95,1
Alexa,55.27,140.61,6629.68,0
Alexa,21.75,736.68,2037.56,0
Alexa,25.63,906.93,4467.88,1
HomePod,57.64,392.52,528.4,0
HomePod,66.78,921.87,4399.72,0
Alexa,19.55,531.56,1085.5,1
Alexa,41.31,447.03,7936.24,0
HomePod,49.17,819.45,6688.21,1
HomePod,11.63,17.44,2404.28,0
HomePod,85.91,521.15,6608.78,0
HomePod,47.31,732.9,6370.14,0
Alexa,25.19,533.8,2716.26,1
HomePod,69.81,784.28,601.39,1
HomePod,10.99,10.21,6574.64,1
Alexa,29.24,660.44,7955.34,1
Alexa,37.87,239.72,296.34,1
Alexa,82.43,267.86,6140.95,0
HomePod,45.87,838.45,5839.55,0
HomePod,56.4,402.27,4771.1,0
Alexa,10.5,815.14,1630.99,0
HomePod,24.73,453.91,3448.54,0
HomePod,23.34,258.41,2085.82,1
Alexa,82.18,799.05,5350.86,0
Alexa,67.18,612.5,7527.32,1
HomePod,44.56,290.11,6748.2,1
Alexa,32.93,688.63,1160.54,0
HomePod,43.24,837.66,7613.09,1
HomePod,78.47,145.26,3050.21,1
HomePod,11.53,686.36,340.41,1
HomePod,14.02,189.57,3124.51,0
Alexa,39.22,896.73,6670.39,1
HomePod,46.57,150.45,2292.28,0
Alexa,57.51,928.17,7401.27,0
Alexa,31.73,484.77,6794.36,0
Alexa,34.15,934.97,3702.44,0
HomePod,78.93,630.04,5465.59,1
Alexa,71.87,348.97,5744.96,0
Alexa,10.2,269.13,510.71,0
HomePod,23.85,852.18,7639.65,0
Alexa,13.7,311.57,7114.66,1
HomePod,28.95,361.68,2006.61,1
HomePod,51.36,757.65,6921.86,1
HomePod,30.89,686.88,2411.99,0
HomePod,28.16,499.28,2354.29,0
HomePod,21.91,807.48,5157.27,0
HomePod,73.02,858.18,6862.23,1
Alexa,34.98,674.8,311.58,0
Alexa,75.62,915.35,5172.72,1
Alexa,76.16,831.06,5741.17,0
Alexa,46.55,743.55,1608.21,0
Alexa,11.48,719.87,3777.8,1
HomePod,36.78,136.98,3899.55,0
Alexa,38.87,850.02,2982.47,1
Alexa,61.58,452.72,2040.69,0
Alexa,16.27,969.22,4346.44,0
HomePod,22.49,629.39,5285.98,0
Alexa,50.28,327.37,2629.57,0
HomePod,23.99,215.29,2048.31,1
HomePod,63.52,420.91,7763.25,1
Alexa,35.57,318.73,840.81,0
HomePod,52.95,368.14,1437.24,1
Alexa,88.74,60.78,1888.69,0
Alexa,33.24,214.22,5480.32,1
HomePod,29.44,828.62,3418.7,1
Alexa,57.72,741.18,4270.79,1
Alexa,33.73,805.18,7417.56,1
HomePod,77.73,305.68,426.33,0
Alexa,15.23,18.29,3993.18,1
Alexa,39.86,93.07,2545.07,1
Alexa,40.05,466.58,2902.36,1
Alexa,18.14,469.0,3330.95,0
HomePod,49.86,551.05,7126.12,0
HomePod,26.97,853.21,911.38,0
Alexa,16.42,584.73,377.21,1
Alexa,11.38,531.93,4674.09,1
HomePod,66.92,665.93,6267.73,0
HomePod,22.26,796.91,1008.9,0
HomePod,62.08,814.07,840.62,1
HomePod,34.15,16.73,3459.94,1
HomePod,26.29,321.92,2458.7,1
Alexa,16.15,942.88,3971.76,1
HomePod,23.22,22.55,6382.8,0
Alexa,41.74,340.7,2539.9,0
HomePod,89.21,780.53,2213.22,1
Alexa,51.93,340.82,7707.07,1
HomePod,40.76,647.07,5588.84,0
HomePod,25.28,812.92,7441.65,0
HomePod,23.91,58.4,7091.5,1
Alexa,52.04,976.25,4164.96,0
Alexa,80.4,538.47,5986.4,1
HomePod,38.18,635.11,2544.61,1
Alexa,55.03,743.0,1960.68,0
Alexa,32.85,259.25,6571.04,0
HomePod,36.87,767.83,7724.97,1
HomePod,58.94,267.11,2095.36,0
HomePod,15.78,554.95,7185.19,0
HomePod,10.27,30.96,3460.61,1
Alexa,33.3,224.83,7895.33,1
Alexa,55.32,733.82,6008.01,0
Alexa,78.23,558.3,2231.73,1
HomePod,51.08,656.08,2100.2,1
Alexa,82.77,827.14,3302.98,0
HomePod,86.65,356.48,6965.2,1
HomePod,66.29,401.8,4029.71,0
Alexa,10.1,344.59,2779.44,0
HomePod,49.14,765.81,7483.98,0
HomePod,87.26,134.66,6396.16,0
HomePod,42.79,169.29,2200.63,0
Alexa,57.97,261.78,5749.08,1
Alexa,21.71,734.63,1874.58,1
HomePod,68.01,721.63,1115.15,0
Alexa,28.19,897.06,6693.65,1
Alexa,12.06,456.33,6470.43,0
HomePod,48.04,473.79,5123.31,1
HomePod,48.75,465.44,5138.35,1
Alexa,69.11,877.19,4256.19,1
Alexa,77.46,674.32,3067.81,0
Alexa,69.38,843.58,4423.4,0
HomePod,26.34,626.0,2125.38,1
Alexa,76.62,407.19,7613.34,1
HomePod,55.34,671.01,7900.32,0
Alexa,14.18,779.95,5047.88,0
Alexa,70.22,241.3,2364.4,0
Alexa,75.36,188.33,7150.03,0
Alexa,38.58,636.75,7171.02,1
Alexa,62.19,132.81,7919.06,1
Alexa,81.72,455.21,689.04,1
HomePod,39.71,520.19,1042.09,0
HomePod,18.4,472.56,5533.56,0
Alexa,36.35,378.36,700.19,1
Alexa,75.44,496.31,3172.28,0
Alexa,83.14,938.36,4911.28,1
Alexa,55.78,495.75,2414.86,1
Alexa,67.82,632.56,3886.88,0
HomePod,78.5,563.2,1938.13,0
HomePod,60.31,421.63,7151.75,0
HomePod,18.0,363.76,5124.24,0
Alexa,84.74,377.25,6146.05,1
Alexa,59.88,699.98,2028.8,0
Alexa,85.89,106.97,2414.18,0
Alexa,73.44,362.34,7779.16,1
Alexa,62.9,641.89,3069.73,0
HomePod,46.57,50.57,1913.25,1
HomePod,24.96,65.46,7161.92,1
HomePod,79.87,66.16,1872.76,1
HomePod,25.51,101.37,2579.01,0
Alexa,39.29,870.68,6522.41,0
Alexa,48.54,745.17,4290.14,1
HomePod,24.06,722.49,6600.34,0
HomePod,14.48,542.9,5651.82,1
Alexa,61.52,899.81,271.1,0
Alexa,66.35,848.27,2396.65,0
HomePod,49.26,425.06,2560.39,0
HomePod,43.28,750.32,6210.18,1
HomePod,27.78,351.41,6635.5,1
HomePod,35.33,320.47,1789.72,0
HomePod,83.95,472.44,2934.65,1
HomePod,10.14,392.95,5640.3,0
HomePod,37.92,458.44,3917.27,0
Alexa,35.76,350.58,4178.37,0
HomePod,72.22,809.65,3014.93,0
Alexa,74.44,717.24,3277.11,1
Alexa,25.84,648.52,3798.25,0
HomePod,20.18,982.35,5661.0,0
HomePod,88.04,731.11,5750.87,0
Alexa,81.22,323.76,6252.77,0
Alexa,31.52,356.95,7575.67,0
Alexa,69.16,235.6,669.07,1
HomePod,38.82,379.43,7076.83,0
Alexa,57.07,473.32,3938.65,0
HomePod,46.56,996.56,3028.47,1
Alexa,24.82,531.53,5674.31,1
Alexa,10.76,352.09,4374.38,1
HomePod,28.46,656.51,3510.77,1
Alexa,10.36,695.78,1097.3,0
HomePod,27.48,307.73,1939.24,0
Alexa,27.84,288.87,604.25,1
HomePod,10.91,102.45,3786.31,1
HomePod,31.9,427.55,5763.86,0
HomePod,17.7,783.11,2082.93,1
Alexa,75.08,367.09,865.87,1
Alexa,72.32,39.16,4082.65,1
Alexa,56.33,303.2,3976.5,1
HomePod,10.35,27.61,6362.93,1
Alexa,38.8,264.01,6166.36,0
Alexa,17.9,328.99,327.54,0
Alexa,12.69,967.36,7923.79,1
HomePod,86.24,629.17,6979.32,1
HomePod,33.11,897.84,7455.23,0
Alexa,18.96,526.18,1407.92,1
Alexa,32.42,142.42,2276.06,1
HomePod,57.54,750.45,144.94,1
HomePod,11.34,165.88,7867.58,1
HomePod,48.58,279.52,5094.53,1
Alexa,44.06,138.03,7272.99,1
HomePod,52.66,33.58,6904.29,0
Alexa,19.14,12.27,1542.97,1
HomePod,65.43,40.42,4549.68,0
Alexa,48.15,733.0,902.96,1
Alexa,47.74,165.64,2832.8,0
Alexa,53.47,584.61,6106.64,0
Alexa,15.67,345.94,7276.11,1
HomePod,48.6,747.58,4303.15,0
HomePod,89.29,593.44,3218.41,1
Alexa,10.12,891.99,3792.8,1
HomePod,80.27,502.11,6120.71,1
HomePod,67.65,80.66,3082.45,1
HomePod,66.77,179.37,1256.26,0
HomePod,33.39,94.88,1100.22,1
Alexa,41.68,580.83,7345.49,0
HomePod,35.24,537.43,991.31,1
HomePod,69.93,414.87,5579.52,1
HomePod,45.51,341.22,5923.93,0
Alexa,60.08,869.63,6391.03,0
Alexa,17.29,464.88,4522.21,1
HomePod,23.2,332.4,7351.43,0
HomePod,25.93,25.99,3014.85,1
HomePod,55.73,492.37,377.3,1
Alexa,42.84,668.38,6609.41,0
Alexa,52.33,797.33,5712.71,0
HomePod,36.77,546.38,3467.39,0
Alexa,58.38,30.75,6020.92,0
HomePod,67.22,188.17,7531.7,0
Alexa,36.25,601.43,6784.73,0
Alexa,50.49,425.25,6264.36,0
Alexa,44.32,723.27,1028.26,0
HomePod,87.1,897.38,3557.17,0
Alexa,71.72,773.89,5635.34,0
HomePod,59.22,658.11,3035.85,0
HomePod,12.76,119.97,942.96,0
HomePod,84.69,732.7,5704.49,0
Alexa,20.21,167.38,5623.41,0
Alexa,84.21,509.44,1682.54,0
Alexa,70.4,773.89,7901.72,0
Alexa,20.91,156.12,2082.63,1
Alexa,13.67,492.52,6389.95,1
HomePod,81.78,767.57,4925.22,1
Alexa,72.82,588.65,484.11,1
Alexa,27.59,796.01,4245.69,1
Alexa,84.26,521.55,7525.28,1
Alexa,12.48,709.42,7430.72,1
Alexa,35.02,378.59,1300.24,1
HomePod,30.62,546.48,441.62,1
HomePod,27.39,154.93,7206.53,0
HomePod,46.43,479.97,2163.58,0
HomePod,86.61,427.65,2974.61,1
Alexa,24.23,420.86,3077.11,1
HomePod,18.78,55.97,7976.27,1
Alexa,24.44,24.07,7539.31,0
Alexa,44.25,516.44,4073.89,0
Alexa,63.15,974.26,2395.24,0
Alexa,51.56,222.85,2674.22,0
Alexa,64.95,464.1,3506.64,1
Alexa,26.71,497.08,3355.8,1
HomePod,26.68,613.11,4788.59,0
Alexa,88.45,859.8,4099.38,1
Alexa,68.7,32.21,4628.44,0
HomePod,63.0,168.82,545.01,1
HomePod,88.79,639.65,6762.34,1
Alexa,56.95,324.57,1238.35,0
HomePod,51.37,62.26,7749.1,1
Alexa,41.58,145.98,3618.68,0
Alexa,51.53,988.55,2054.32,0
Alexa,46.75,644.2,1854.74,0
HomePod,76.22,712.8,7554.84,0
Alexa,64.68,987.82,5497.88,1
HomePod,71.57,46.91,6039.92,1
Alexa,47.35,989.33,7545.6,1
HomePod,42.97,83.33,2884.72,0
HomePod,31.51,419.74,3453.38,0
HomePod,85.66,543.61,3424.68,1
HomePod,20.74,256.98,6013.41,1
HomePod,31.77,15.95,439.44,0
Alexa,86.97,138.71,2125.43,0
HomePod,44.13,761.44,4558.37,0
Alexa,77.42,588.89,3455.66,1
HomePod,37.07,363.85,6246.08,0
Alexa,43.45,251.5,4866.11,0
HomePod,28.02,233.9,2481.16,0
Alexa,76.44,348.06,4245.35,1
Alexa,58.68,288.47,1662.25,1
Alexa,36.98,646.12,7277.77,1
HomePod,10.04,748.31,5487.26,1
Alexa,26.97,117.79,2750.56,0
HomePod,25.78,432.54,3557.72,1
HomePod,50.18,35.3,1275.85,0
Alexa,42.34,72.55,492.64,1
Alexa,69.12,905.93,1145.39,1
Alexa,48.08,346.91,2296.95,0
Alexa,35.52,635.71,1108.76,1
HomePod,59.01,321.01,230.01,0
Alexa,62.6,455.62,7007.83,0
HomePod,73.62,547.14,6508.78,0
Alexa,36.19,864.77,3202.75,1
Alexa,68.87,35.87,7430.67,1
HomePod,37.97,186.51,714.89,1
Alexa,63.34,470.55,5446.79,0
HomePod,34.86,68.02,5892.63,0
HomePod,18.8,479.44,857.17,0
HomePod,61.16,802.51,5319.99,1
HomePod,51.76,599.67,2539.66,1
HomePod,59.49,296.57,1409.71,1
Alexa,28.98,685.93,6138.04,1
HomePod,26.85,933.89,5528.18,0
Alexa,48.47,491.25,5800.85,0
HomePod,31.34,29.02,5090.73,1
HomePod,55.18,376.26,5620.78,0
HomePod,65.74,676.71,2321.69,0
HomePod,28.05,939.41,4432.11,1
HomePod,29.03,355.55,7871.83,0
Alexa,82.8,729.43,1884.45,0
HomePod,51.73,538.29,7921.03,1
HomePod,17.37,588.42,3922.14,1
Alexa,46.09,873.75,2556.25,1
HomePod,11.4,416.44,4227.46,0
HomePod,16.59,243.88,698.37,1
Alexa,14.3,608.69,2489.7,0
HomePod,45.2,919.36,7282.26,0
HomePod,82.01,560.17,4492.02,1
Alexa,48.96,887.41,4821.52,1
HomePod,47.15,3.85,1597.74,1
HomePod,88.22,485.6,3870.08,0
Alexa,20.66,262.95,965.14,1
Alexa,38.16,948.94,3109.77,0
HomePod,68.9,461.55,5146.12,1
Alexa,40.13,510.64,7196.34,0
Alexa,59.38,79.74,2988.92,0
HomePod,19.95,450.36,7114.29,0
Alexa,23.08,260.8,3954.57,0
HomePod,58.17,262.85,1215.23,1
HomePod,25.74,427.0,6932.9,0
HomePod,53.69,842.09,2243.28,0
HomePod,75.85,712.94,2246.03,0
HomePod,30.61,934.42,1868.86,1
HomePod,39.77,656.69,4260.28,1
Alexa,15.16,953.57,3155.79,0
HomePod,19.13,144.63,4518.68,0
Alexa,79.78,801.55,953.97,1
Alexa,34.62,703.3,4280.56,0
HomePod,34.01,885.95,2557.04,0
Alexa,37.41,553.13,7729.16,0
HomePod,32.13,855.35,5158.47,1
Alexa,81.6,651.39,3963.86,1
HomePod,56.3,247.41,1525.83,0
Alexa,18.31,603.78,892.41,1
Alexa,31.13,797.71,7842.39,1
HomePod,43.55,889.99,3042.95,0
Alexa,44.59,145.42,5015.31,0
Alexa,73.06,462.14,2818.64,0
HomePod,87.0,514.09,1543.33,1
Alexa,53.14,345.51,6664.06,0
Alexa,76.24,568.09,5634.19,0
HomePod,46.02,62.99,1197.21,1
Alexa,43.52,712.78,3888.45,1
HomePod,10.4,364.56,3627.86,1
HomePod,69.28,911.55,5097.62,0
Alexa,66.32,817.5,4482.28,0
Alexa,37.09,861.26,4088.7,1
Alexa,42.85,875.47,645.16,0
Alexa,28.6,373.24,2822.0,1
Alexa,64.88,997.83,2009.72,1
HomePod,33.73,64.31,5184.96,0
HomePod,74.42,510.54,4202.28,0
HomePod,59.67,159.59,3158.06,0
Alexa,72.61,348.05,2714.45,1
Alexa,50.17,924.98,3150.83,0
HomePod,35.17,257.28,7407.14,0
HomePod,85.37,440.19,5347.31,0
Alexa,54.13,389.24,4754.66,1
HomePod,17.5,723.58,1326.6,0
Alexa,35.05,576.88,2030.5,0
Alexa,58.19,953.32,7235.84,1
HomePod,66.36,761.26,3275.69,0
